sku,price,season,promo,demand
SKU_1,100,1,1,134.8777256356118
SKU_1,105,0,0,35.10412881077355
SKU_1,105,0,1,86.57170511668092
SKU_1,105,1,0,61.968325129969855
SKU_1,105,1,1,111.51896687959665
SKU_1,110,0,0,29.062629111970992
SKU_1,110,0,1,81.78120014285412
SKU_1,110,1,0,54.63994939209833
SKU_1,110,1,1,110.01766448946012
SKU_1,115,0,0,14.30818012523817
SKU_1,115,0,1,59.274401226974376
SKU_1,115,1,0,44.30697802754207
SKU_1,115,1,1,100.19018283232984
SKU_1,120,0,0,0.0
SKU_1,120,0,1,57.82321827907003
SKU_1,120,1,0,16.901274479551276
SKU_1,120,1,1,84.10951252187611
SKU_2,30,0,0,175.43523534119086
SKU_2,30,0,1,223.50496324767067
SKU_2,30,1,0,205.4588038826775
SKU_2,30,1,1,245.06215542699553
SKU_2,35,0,0,161.40164056081244
SKU_2,35,0,1,214.28556285755874
SKU_2,35,1,0,199.88947022370758
SKU_2,35,1,1,239.90864890863176
SKU_2,40,0,0,145.95753198553408
SKU_2,40,0,1,197.49121478207732
SKU_2,40,1,0,184.57701058851038
SKU_2,40,1,1,231.64375554829843
SKU_2,45,0,0,134.8511989811648
SKU_2,45,0,1,190.06633716556678
SKU_2,45,1,0,167.9853877467402
SKU_2,45,1,1,222.34322495266446
SKU_2,50,0,0,121.48973453061323
SKU_2,50,0,1,173.36168926701117
SKU_2,50,1,0,153.0394592343392
SKU_2,50,1,1,197.6824252593394
SKU_2,55,0,0,113.98060138532288
SKU_2,55,0,1,163.80527636089946
SKU_2,55,1,0,142.5255672832123
SKU_2,55,1,1,191.32706433312427
SKU_2,60,0,0,92.92314628974793
SKU_2,60,0,1,147.8967733861732
SKU_2,60,1,0,128.28642741736616
SKU_2,60,1,1,175.98861365389192
SKU_2,65,0,0,86.69357144166996
SKU_2,65,0,1,139.52025428407268
SKU_2,65,1,0,126.93092950605265
SKU_2,65,1,1,168.37288906415918
SKU_2,70,0,0,76.28775195361382
SKU_2,70,0,1,124.62777042116916
SKU_2,70,1,0,95.4061439235048
SKU_2,70,1,1,154.86743062275391
SKU_2,75,0,0,62.80115104970513
SKU_2,75,0,1,124.81621056242643
SKU_2,75,1,0,91.53819517609439
SKU_2,75,1,1,144.00773671166806
SKU_2,80,0,0,49.82644115147378
SKU_2,80,0,1,94.15660981190234
SKU_2,80,1,0,85.7141140725751
SKU_2,80,1,1,133.75966516343388
SKU_2,85,0,0,41.45515973521523
SKU_2,85,0,1,82.9530627260263
SKU_2,85,1,0,74.5139715546805
SKU_2,85,1,1,110.4907446860386
SKU_2,90,0,0,27.934285469001352
SKU_2,90,0,1,85.95227812904989
SKU_2,90,1,0,50.04731837434656
SKU_2,90,1,1,102.16851135198614
SKU_2,95,0,0,12.998256825438206
SKU_2,95,0,1,59.982621729419
SKU_2,95,1,0,34.74668284466934
SKU_2,95,1,1,92.84281487403014
SKU_2,100,0,0,0.0
SKU_2,100,0,1,52.36796215317591
SKU_2,100,1,0,25.402878828830982
SKU_2,100,1,1,87.7496720250877
SKU_2,105,0,0,0.0
SKU_2,105,0,1,35.88969241897162
SKU_2,105,1,0,21.567586086848348
SKU_2,105,1,1,61.34567841783022
SKU_2,110,0,0,0.0
SKU_2,110,0,1,31.53571377141214
SKU_2,110,1,0,0.0
SKU_2,110,1,1,55.92316929266152
SKU_2,115,0,0,0.0
SKU_2,115,0,1,16.40911435888655
SKU_2,115,1,0,0.0
SKU_2,115,1,1,35.89771693457862
SKU_2,120,0,0,0.0
SKU_2,120,0,1,1.4849233661659302
SKU_2,120,1,0,0.0
SKU_2,120,1,1,31.73224104748488
SKU_3,30,0,0,121.59987639210755
SKU_3,30,0,1,176.161268485805
SKU_3,30,1,0,156.4653623664934
SKU_3,30,1,1,201.42824290986817
SKU_3,35,0,0,121.82887255572378
SKU_3,35,0,1,164.86916460455893
SKU_3,35,1,0,136.54348251398676
SKU_3,35,1,1,195.78276804316914
SKU_3,40,0,0,95.1265916488634
SKU_3,40,0,1,153.93542301871227
SKU_3,40,1,0,135.792977895037
SKU_3,40,1,1,175.89658840824146
SKU_3,45,0,0,92.3168806462216
SKU_3,45,0,1,139.5639046346825
SKU_3,45,1,0,121.61030079997245
SKU_3,45,1,1,176.98396491326974
SKU_3,50,0,0,73.77305941998564
SKU_3,50,0,1,121.23131917821256
SKU_3,50,1,0,100.55242785187238
SKU_3,50,1,1,150.92094857517282
SKU_3,55,0,0,62.11449145292948
SKU_3,55,0,1,114.20575987408321
SKU_3,55,1,0,93.88345399665009
SKU_3,55,1,1,146.6359162451801
SKU_3,60,0,0,50.065009459389536
SKU_3,60,0,1,107.26767038578659
SKU_3,60,1,0,78.67671583381022
SKU_3,60,1,1,143.6008458329481
SKU_3,65,0,0,40.628336738825034
SKU_3,65,0,1,83.21421221791859
SKU_3,65,1,0,62.145537509694435
SKU_3,65,1,1,119.91236207621593
SKU_3,70,0,0,23.882686073370746
SKU_3,70,0,1,78.57000247046047
SKU_3,70,1,0,57.366188122867726
SKU_3,70,1,1,104.63585543671563
SKU_3,75,0,0,8.266031409657975
SKU_3,75,0,1,54.92576387657068
SKU_3,75,1,0,40.267425239664895
SKU_3,75,1,1,96.78199397161737
SKU_3,80,0,0,1.0704687206510197
SKU_3,80,0,1,43.77130610644006
SKU_3,80,1,0,30.86590462925591
SKU_3,80,1,1,81.92658689864419
SKU_3,85,0,0,0.0
SKU_3,85,0,1,38.268625529727636
SKU_3,85,1,0,17.79104359223
SKU_3,85,1,1,61.78514851084688
SKU_3,90,0,0,0.0
SKU_3,90,0,1,27.80392263184117
SKU_3,90,1,0,10.415256215876385
SKU_3,90,1,1,60.26901026017451
SKU_3,95,0,0,0.0
SKU_3,95,0,1,7.810874800424386
SKU_3,95,1,0,0.0
SKU_3,95,1,1,45.06892975456105
SKU_3,100,0,0,0.0
SKU_3,100,0,1,19.263657453273602
SKU_3,100,1,0,0.0
SKU_3,100,1,1,35.677828200902994
SKU_3,105,0,0,0.0
SKU_3,105,0,1,0.0
SKU_3,105,1,0,0.0
SKU_3,105,1,1,21.294846102466337
SKU_3,110,0,0,0.0
SKU_3,110,0,1,0.0
SKU_3,110,1,0,0.0
SKU_3,110,1,1,5.409370696931613
SKU_3,115,0,0,0.0
SKU_3,115,0,1,0.0
SKU_3,115,1,0,0.0
SKU_3,115,1,1,0.0
SKU_3,120,0,0,0.0
SKU_3,120,0,1,0.0
SKU_3,120,1,0,0.0
SKU_3,120,1,1,0.0
